133,24.1,68,8
134,24.4,63,12
135,23.5,69,15
136,24.1,67,16
137,22.8,69,17
138,21.5,71,17
139,19.5,75,12
140,18.2,76,14
141,17.1,79,12
142,17,80,16
143,16.3,84,11
144,15.5,88,5
145,15.2,90,10
146,15.3,88,7
147,14.2,90,5
148,13.9,91,8
149,14.5,86,10
150,14.3,86,9
151,15.5,82,7
152,17.7,72,8
153,19.8,66,11
154,20.2,66,12
155,21.5,61,7
156,21.4,59,10
157,22.5,56,16
158,23.2,40,4
159,22.5,50,14
160,21.2,52,16
161,20.4,56,14
162,19.5,60,10
163,18.8,65,16
164,17.2,68,11
165,16.1,68,12
166,15.8,69,14
167,15,72,10
168,15.8,61,13
169,14.6,67,9
170,14.7,67,17
171,13.7,72,13
172,13,74,16
173,12.1,77,14
174,11.2,77,12
175,11.2,75,11
176,12.1,65,13
177,13,51,21
178,13.5,50,12
179,14.4,49,15
180,14.5,54,14
181,15.3,52,9
182,15.7,52,14
183,16.2,48,14
184,15.8,48,17
185,15.6,49,11
186,14.7,51,10
187,13.4,60,7
188,12.2,69,5
189,10.8,77,9
190,10.9,72,10
191,10.7,67,9
192,10.6,64,13
193,10.4,63,14
194,9.8,68,13
195,9,72,11
196,9.2,71,13
197,8.9,72,13
198,8.8,74,12
199,10,68,16
200,10.7,68,13
201,11.8,65,19
202,12.9,65,16
203,14.1,62,28
204,14.5,62,26
205,15.1,61,26
206,14.7,58,30
207,14.6,56,27
208,14.2,52,21
209,14,52,19
210,13.4,53,18
211,12.9,54,18
212,12.3,58,16
213,12.1,58,16
214,11.8,63,13
215,11.9,66,10
216,12.6,69,18
217,13.3,70,21
218,13.3,73,14
219,13.4,81,16
220,13,93,14
221,13.5,93,17
222,13.2,95,20
223,13.4,94,27
224,13.3,96,26
225,12.9,96,31
226,13.1,96,29
227,12.3,96,32
228,12.6,96,28
229,12.8,96,22
230,12.7,96,23
231,13,96,27
232,13.3,97,21
233,13.4,97,21
234,13.8,98,18
235,14.2,98,15
236,14.7,98,12
237,15.1,98,10
238,15.4,99,7
239,15.6,99,8
240,15.8,99,4
241,15.9,99,3
242,15.9,99,7
243,14.8,99,11
244,14.5,99,8
245,14.5,99,12
246,14.6,98,8
247,14.7,95,17
248,14.9,92,18
249,15,93,16
250,16.7,86,16
251,17.4,83,14
252,17.7,81,8
253,17.8,79,10
254,18.4,77,9
255,18.8,75,9
256,19,76,6
257,19.1,75,13
258,17.8,78,9
259,16,84,7
260,15.1,89,3
261,14.2,93,4
262,13.4,95,4
263,12.8,95,3
264,12.7,95,1
265,11.6,97,3
266,11.4,98,4
267,11.1,97,4
268,11.2,98,5
269,11.3,97,6
270,11.2,97,2
271,13.1,96,3
272,16.7,89,3
273,19.2,80,8
274,20.1,74,5
275,21.5,73,11
276,22.3,70,4
277,22.9,64,7
278,23.1,65,9
279,22.5,70,16
280,22.6,69,16
281,22,70,15
282,20.4,76,10
283,19,83,6
284,17.8,88,4
285,17.1,92,4
286,15.4,96,5
287,14.9,98,6
288,16,98,3
289,16.7,98,8
290,16.6,99,7
291,15.2,99,5
292,14.3,99,4
293,14.5,99,5
294,14.6,99,5
295,15.7,96,5
296,19.4,80,12
297,21,75,17
298,22.7,69,16
299,23.5,67,17
300,23.6,63,16
301,24.6,62,18
302,24.9,63,18
303,25.1,61,18
304,25,62,15
305,24.1,64,18
306,22.9,66,13
307,21.6,71,10
308,20.9,75,9
309,20.3,77,9
310,19.6,81,6
311,19.1,83,7
312,18.6,85,4
313,17.3,89,5
314,17.1,91,5
315,17.2,91,3
316,16.6,94,5
317,17.9,91,4
318,17.6,93,4
319,19,92,5
320,20.8,91,7
321,23.4,82,5
322,26,74,9
323,25.8,73,5
324,26.7,72,7
325,27.4,70,10
326,28.5,66,13
327,27.7,65,11
328,27.2,66,15
329,26,72,20
330,24.4,76,12
331,22.6,82,10
332,22.1,85,6
333,21.5,88,5
334,20.4,92,5
335,20,93,5
336,20.2,94,4
337,20.1,94,8
338,19.4,96,8
339,19.3,96,0
340,19.7,96,3
341,19.8,95,2
342,19,97,4
343,20.5,96,4
344,22.5,85,2
345,25,79,2
346,26.6,73,5
347,27.7,70,5
348,27.4,74,7
349,28.3,65,3
350,27,70,10
351,27.7,68,14
352,27.7,66,7
353,27.1,68,9
354,25,76,11
355,24.1,78,5
356,23.2,81,1
357,21.2,90,5
358,21.9,89,2
359,21.1,91,5
360,20.5,95,8
361,20.2,94,6
362,20.5,92,3
363,19.4,93,5
364,19.8,95,3
365,18.7,97,1
366,18.4,97,6
367,20.1,95,4
368,22.8,87,5
369,24.6,79,3
370,26.4,73,9
371,28.1,68,8
372,28.8,63,12
373,28.6,62,12
374,28.5,61,9
375,28.9,56,8
376,28.7,55,12
377,27.3,60,15
378,24.9,70,10
379,22.9,81,9
380,22.4,85,9
381,21.6,90,5
382,20.6,92,3
383,19.3,95,4
384,19.4,95,3
385,19.1,97,3
386,18.2,97,3
387,18.2,98,3
388,17.4,98,2
389,17.8,98,3
390,18.4,98,3
391,19.1,99,4
392,19.6,100,3
393,20.6,100,4
394,24.5,79,4
395,26,73,2
396,27.5,63,13
397,27.6,66,7
398,27.2,65,18
399,26,69,16
400,26.1,69,14
401,25.7,67,18
402,24.3,73,12
403,23,79,10
404,21.9,85,8
405,21,89,3
406,20.8,91,5
407,20.7,92,3
408,19.7,96,1
409,18,96,2
410,17.5,97,4
411,18.6,95,3
412,19.5,94,3
413,19.5,93,4
414,19.4,94,4
415,20.4,91,13
416,21.1,88,19
417,20.8,87,13
418,23.1,76,13
419,24.1,67,22
